ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
1592,559.11,67.47,528.3,25.69,20.83,77.78
1604,406.28,70.89,528.23,20.79,18.26,66.34
1605,435.42,66.86,550.95,33.58,15.19,84.22
1617,202.12,67.28,546.89,22.93,21.95,87.91
1636,540.18,72.41,498.29,32.37,21.08,89.23
1639,145.97,70.36,568.0,31.92,18.19,87.12
1671,329.97,60.43,547.36,24.26,18.65,79.4
1673,389.8,65.44,539.51,25.12,17.56,75.26
1685,482.51,73.83,471.73,31.52,22.29,74.21
1703,386.75,67.24,465.2,29.4,18.85,77.17
1711,507.93,66.35,511.58,29.09,20.36,75.46
1749,670.77,69.6,413.07,33.68,21.31,79.6
1756,323.45,65.37,580.43,33.08,20.16,81.07
1757,377.72,72.55,545.12,25.15,18.96,82.21
1763,384.28,64.07,453.65,16.25,19.85,65.16
1764,428.0,62.26,505.49,38.94,18.2,77.04
1780,287.13,69.51,594.08,30.35,19.72,82.28
1785,376.2,69.3,505.49,39.27,20.27,74.97
1799,367.31,74.76,441.53,39.31,19.1,82.85
1841,544.79,81.12,457.49,24.5,21.47,82.98
1857,469.31,65.39,550.58,35.54,19.87,89.86
1863,430.82,62.51,470.31,40.64,19.02,83.93
1895,356.82,67.66,515.23,24.78,17.78,74.87
1911,553.87,64.9,454.1,21.89,19.07,70.83
1917,501.79,56.44,454.37,23.23,19.06,81.48
1920,423.21,65.14,526.4,19.51,19.76,75.19
1923,407.43,74.95,519.18,21.44,17.25,73.14
1940,325.18,60.82,468.94,39.51,19.51,69.2
1942,476.9,59.45,441.24,28.28,20.68,82.24
1944,332.47,65.55,444.96,38.85,19.21,79.21
1948,376.86,68.08,512.98,27.84,18.59,80.02
1950,402.52,66.94,487.8,28.88,21.84,74.08
1969,536.57,72.93,514.97,31.63,21.23,78.57
1972,524.51,65.61,489.94,32.67,21.37,86.6
2003,619.32,70.03,501.73,31.56,18.71,83.08
2007,339.74,64.97,560.86,23.41,22.7,95.45
2017,530.12,67.31,451.47,22.43,20.64,80.66
2019,596.74,62.56,494.28,21.08,21.02,80.35
2026,494.97,65.75,475.55,39.44,23.65,84.11
2038,388.6,67.04,483.34,20.86,18.69,86.84
2040,276.18,58.84,562.93,27.68,19.49,86.76
2050,456.93,66.44,574.16,33.51,18.28,92.21
2085,473.42,66.16,464.55,34.81,20.33,82.17
2086,416.73,66.95,505.54,32.5,20.2,76.48
2096,479.45,64.01,557.52,27.21,19.49,83.17
2101,501.52,74.62,419.97,23.51,21.12,86.77
2121,355.58,67.35,583.78,27.7,20.5,88.51
2123,471.62,78.06,425.63,19.95,18.69,73.57
2144,464.29,65.26,472.08,25.56,18.17,76.16
2183,394.29,71.76,553.84,25.84,21.6,87.19
2206,580.04,65.47,578.66,30.46,21.63,88.81
2214,291.09,65.43,496.99,32.85,22.56,79.11
2226,434.98,59.86,502.0,37.13,20.95,84.75
2245,382.42,66.67,482.33,21.31,17.08,65.38
2251,387.6,74.04,457.68,28.5,20.99,70.76
2262,503.11,73.0,561.51,35.03,19.08,78.05
2269,420.85,61.98,456.59,32.2,19.73,72.64
2270,485.39,72.72,553.55,33.5,22.05,89.38
2289,378.9,74.6,509.11,25.9,18.16,82.68
2298,457.6,71.64,511.09,32.06,23.56,82.5
2299,599.18,71.16,456.17,38.24,19.96,84.09
2340,550.79,62.93,480.66,32.1,19.25,86.46
2367,299.97,63.62,499.33,31.91,20.46,77.73
2383,582.56,73.24,492.49,23.58,20.65,83.78
2396,562.91,59.95,533.42,24.29,20.46,74.28
2411,503.4,69.19,532.64,34.37,16.99,75.89
2428,594.11,66.97,438.56,25.92,17.27,83.72
2431,437.3,65.52,583.85,23.47,23.78,84.99
2448,454.29,68.35,471.92,10.45,22.25,76.14
2470,380.61,68.65,537.43,28.86,21.96,81.34
2471,367.85,76.17,548.87,25.0,20.12,89.35
2478,484.49,61.2,525.75,32.56,20.5,75.92
2484,386.32,70.48,498.99,20.66,20.2,81.22
2495,608.95,61.84,469.96,40.81,21.13,80.8
2500,495.91,68.08,505.01,40.23,20.47,79.66
2506,452.76,63.07,399.07,24.2,20.74,81.05
2516,359.1,60.93,546.94,47.24,15.71,86.76
2533,412.13,62.16,500.37,25.4,22.83,85.84
2537,510.92,60.96,519.2,16.36,22.04,77.86
2543,431.2,64.64,457.56,31.39,16.75,71.36
2547,510.62,61.75,433.51,24.25,20.27,69.58
2549,456.38,66.97,494.96,27.74,20.23,81.76
2551,370.89,73.03,560.06,30.87,18.56,85.47
2563,511.07,69.71,514.57,24.89,18.57,66.92
2567,410.34,64.45,396.99,28.27,22.17,68.29
2587,456.08,69.89,605.54,30.1,19.21,78.91
2598,461.11,61.55,450.49,31.5,19.32,79.58
2600,388.73,60.48,500.99,39.61,19.13,79.83
2622,544.29,66.36,475.5,35.17,17.61,88.22
2643,626.67,70.54,417.6,25.21,19.48,80.22
2645,496.92,64.35,487.89,32.94,19.55,73.6
2684,454.76,60.87,528.66,31.58,18.99,79.06
2691,558.83,63.04,529.63,25.69,18.74,85.49
2699,448.98,69.39,482.83,24.9,17.83,72.21
2704,494.58,66.74,512.64,21.53,21.82,81.01
2719,388.34,57.79,465.59,23.96,18.51,72.53
2727,411.68,66.64,411.62,39.0,19.87,76.86
2737,501.62,69.18,490.78,20.55,18.28,70.05
2749,226.49,70.2,507.83,28.67,18.58,70.87
2759,449.07,69.46,590.31,34.13,21.21,87.61
2772,413.15,70.67,524.85,22.3,17.02,75.2
2773,507.97,79.07,535.19,22.44,17.1,90.05
2779,442.02,74.06,494.33,21.62,21.22,83.21
2785,520.06,69.96,400.06,30.48,20.12,69.22
2815,442.13,59.12,512.26,30.5,19.39,84.66
2831,449.4,67.48,473.54,25.76,18.96,77.04
2835,342.09,59.61,464.79,31.62,17.34,73.17
2840,317.42,67.54,534.42,29.93,20.1,87.04
2842,514.19,71.21,532.15,34.33,22.35,85.43
2856,475.56,63.71,502.48,25.18,19.92,75.06
2861,423.29,74.07,547.25,32.99,20.78,93.1
2871,572.36,67.98,557.87,34.41,19.32,82.58
2883,476.31,70.54,486.45,34.54,20.19,77.52
2889,522.04,64.77,540.33,46.45,21.27,83.27
2891,400.66,59.39,540.93,35.55,23.37,83.44
2906,429.01,64.65,503.17,24.9,18.9,73.86
2911,362.65,72.04,584.5,28.81,19.41,77.1
2925,294.79,65.89,475.27,22.21,20.61,81.52
2929,655.76,70.24,427.13,21.76,20.33,77.69
2932,500.43,78.83,550.04,31.54,17.02,84.36
2936,519.6,69.91,513.78,19.55,22.1,84.09
2959,357.14,68.34,552.05,22.3,23.98,99.42
2961,428.81,63.27,532.24,26.58,24.06,94.85
2968,370.32,67.82,526.84,25.05,19.35,75.23
2979,502.72,65.2,505.28,32.93,19.2,86.15
2987,487.18,70.53,501.74,27.78,19.82,84.99
3000,486.97,64.66,443.14,29.81,19.63,64.45
3017,373.02,72.94,479.89,19.67,22.15,78.06
3028,575.49,65.9,511.42,28.57,20.46,84.28
3062,563.17,67.32,533.92,28.28,19.83,84.8
3066,375.89,65.41,538.49,40.36,20.81,95.23
3071,345.74,65.53,497.37,39.37,23.82,89.27
3096,428.59,63.07,537.31,27.3,19.91,83.78
3097,407.49,69.72,496.37,33.41,20.95,74.16
3100,444.59,62.79,517.84,21.6,20.79,70.04
3115,578.11,60.51,517.23,30.5,17.64,79.7
3119,481.05,66.25,528.06,25.49,20.99,75.0
3130,282.41,64.43,563.65,17.66,20.9,84.4
3141,491.47,61.2,512.59,29.85,17.44,76.27
3150,348.14,74.8,504.11,25.51,20.64,81.83
3158,476.54,68.44,473.57,23.87,21.58,88.79
3173,300.26,70.21,500.17,28.54,21.97,68.27
3175,551.22,68.6,495.99,31.43,19.64,83.35
3186,474.22,66.95,438.53,22.96,20.08,87.6
3197,408.51,63.25,516.07,28.51,20.22,84.96
2,387.14,70.23,501.81,25.93,18.77,85.17
16,285.87,62.54,459.04,32.68,19.13,73.04
33,545.92,69.82,533.08,35.88,18.53,76.97
41,402.17,65.63,509.72,23.79,21.75,81.65
48,469.25,57.56,409.89,32.97,23.32,64.34
53,471.52,63.21,454.83,31.35,21.01,89.92
80,522.66,70.73,514.71,24.09,18.97,75.93
85,579.42,61.36,455.58,42.84,19.92,76.37
90,543.95,70.81,463.84,32.0,21.22,76.39
93,412.43,67.68,532.94,25.65,21.91,94.22
107,529.37,62.45,515.63,26.85,20.57,77.61
111,363.54,67.41,466.12,19.0,24.36,69.64
124,430.17,60.66,479.67,37.48,20.64,85.51
127,499.91,68.65,526.5,27.01,19.94,73.69
156,322.97,61.86,408.84,33.33,21.85,78.32
179,299.82,64.58,513.58,29.86,19.36,80.1
242,552.44,67.87,486.85,32.38,20.03,73.11
254,475.92,70.03,465.17,20.74,20.5,74.36
267,475.67,63.17,585.02,28.27,21.18,88.79
285,499.28,66.88,501.0,36.16,17.39,67.34
295,521.01,69.36,473.78,31.01,15.95,75.17
312,256.44,60.74,438.1,37.76,18.23,78.45
335,466.55,60.45,482.48,20.7,20.73,77.02
342,379.95,63.7,471.39,28.22,19.58,81.75
362,433.82,57.12,434.46,33.29,20.18,82.43
375,440.44,67.15,481.64,31.35,19.23,69.68
393,513.18,67.62,492.13,22.55,18.88,80.13
395,474.35,64.98,485.7,31.51,22.61,87.58
414,568.5,64.58,443.82,36.06,20.71,74.19
424,400.52,66.94,561.22,38.94,22.16,86.77
438,480.5,78.38,521.3,24.14,20.33,70.67
464,399.91,58.62,453.74,29.41,16.92,80.92
479,306.33,64.99,505.36,29.03,23.56,87.17
482,357.12,71.26,529.75,22.75,18.76,87.54
494,607.97,70.2,438.37,29.5,16.91,88.36
500,426.96,63.09,479.36,26.13,21.77,75.44
503,520.87,71.46,546.95,27.35,15.98,78.19
526,465.27,68.96,463.3,22.58,20.33,76.4
528,294.52,68.11,470.2,35.44,18.64,73.81
534,406.12,60.42,423.24,31.29,21.52,71.37
549,389.06,65.94,502.01,37.96,22.48,95.23
551,398.2,70.34,497.8,38.38,22.92,80.88
553,360.61,64.29,508.14,23.9,20.51,90.77
554,415.71,64.23,548.66,34.54,18.55,84.3
571,350.67,54.81,494.03,37.21,17.76,85.41
582,356.67,59.46,499.66,36.98,18.78,84.42
601,534.04,63.59,495.43,42.34,17.76,81.22
605,384.86,67.52,489.81,30.75,19.45,72.19
630,387.51,63.33,506.68,30.22,21.98,88.63
632,399.58,59.77,466.82,28.43,19.33,81.5
648,426.05,68.54,565.72,21.56,19.15,84.0
653,584.44,58.25,537.87,24.38,21.79,86.97
666,462.83,65.48,485.79,34.52,17.47,81.7
682,401.96,59.07,519.58,38.58,17.42,84.56
691,402.61,69.39,461.82,26.47,18.27,80.67
695,529.04,59.61,468.55,19.99,20.3,76.54
704,382.15,71.3,513.46,32.41,20.87,78.67
712,488.03,59.83,452.05,32.76,21.85,87.98
720,459.37,69.71,532.24,25.13,16.91,82.54
731,402.66,60.97,563.9,26.82,19.05,68.57
751,488.3,73.3,434.2,35.39,18.94,69.0
780,473.08,71.09,576.31,25.31,19.97,87.29
787,351.44,65.82,439.55,33.8,21.45,72.76
789,217.51,58.55,516.38,44.75,21.58,72.67
795,372.12,59.4,444.52,37.05,21.2,77.12
813,462.41,68.78,507.62,32.34,21.41,95.05
814,435.05,68.16,489.32,30.02,19.21,76.07
829,346.48,65.21,455.35,27.06,19.07,71.25
838,411.43,66.43,577.31,40.31,19.68,91.73
839,455.4,72.64,527.6,40.18,17.46,76.34
858,326.86,72.01,512.04,24.35,21.36,80.62
873,389.44,63.28,503.41,32.78,23.49,84.01
884,343.68,64.76,596.21,26.5,21.06,85.22
892,442.46,65.37,549.44,25.52,16.95,75.69
893,482.83,67.55,513.98,30.8,21.46,83.33
904,433.74,74.74,528.41,22.31,18.51,70.87
913,630.51,66.04,446.1,32.68,19.2,76.15
916,647.91,72.27,447.88,31.83,21.31,80.93
956,460.57,69.99,463.43,35.01,20.27,85.79
981,532.53,66.5,476.49,33.11,19.08,83.42
991,398.07,75.62,527.1,24.96,22.05,90.99
992,601.62,71.26,461.13,22.06,18.85,76.5
1014,500.42,59.37,497.52,29.92,19.96,83.48
1023,420.06,63.61,461.05,29.49,17.16,70.14
1030,443.06,65.0,473.97,27.85,20.69,71.3
1036,440.21,68.9,538.0,30.76,19.68,77.07
1095,528.92,69.51,464.22,38.31,19.47,78.1
1100,427.54,71.98,484.58,34.25,21.85,83.12
1126,395.3,72.13,466.26,24.43,20.09,70.84
1134,628.93,61.69,457.78,35.14,18.76,73.54
1151,506.5,65.67,423.25,19.73,20.12,69.1
1155,356.16,70.0,541.42,24.36,20.98,86.93
1162,554.47,64.91,456.24,30.82,20.84,88.44
1188,512.31,62.48,470.86,38.69,18.96,77.93
1193,446.09,79.56,515.37,21.27,21.08,75.01
1212,222.67,61.04,519.5,27.6,25.44,77.61
1221,327.9,66.99,509.15,29.04,22.64,87.2
1227,367.67,67.4,419.14,17.5,19.32,73.99
1230,387.92,69.91,564.72,24.16,21.88,89.53
1232,457.53,67.66,521.95,34.89,20.39,79.41
1247,481.42,62.38,488.57,35.27,20.63,88.99
1255,413.66,61.9,475.83,27.27,19.49,84.39
1266,367.53,74.23,531.13,18.07,17.95,74.42
1273,488.55,67.64,467.03,28.4,20.69,82.13
1277,339.05,68.67,564.21,25.75,19.02,80.26
1315,372.66,64.5,469.17,29.02,22.32,73.56
1346,461.6,70.19,547.37,34.08,20.76,77.19
1373,495.67,71.69,601.05,26.24,19.34,86.1
1377,355.96,66.52,512.06,22.57,19.42,83.68
1384,543.24,63.38,481.96,47.93,18.53,79.64
1401,391.38,64.18,482.37,29.66,20.74,80.67
1416,343.16,76.32,577.77,24.08,17.81,76.49
1417,498.08,69.09,488.73,33.31,19.64,96.06
1440,495.42,72.95,485.88,30.92,20.47,84.12
1459,502.79,66.42,442.15,34.94,19.25,63.78
1464,460.51,65.89,488.26,33.22,19.24,82.1
1474,500.47,63.55,505.07,25.57,19.77,79.6
1479,541.13,67.75,530.43,28.66,21.31,84.49
1493,443.73,70.37,489.18,28.95,19.33,74.98
1495,580.77,66.37,540.62,36.01,20.42,82.09
1502,536.31,68.85,475.34,27.9,18.62,75.31
1504,479.94,64.74,511.3,28.29,19.14,77.88
1508,365.7,60.93,507.42,22.72,19.0,77.9
1511,312.83,64.49,542.72,34.35,20.95,88.43
1512,418.48,64.56,446.95,39.46,19.59,79.66
1527,510.85,68.4,513.98,32.75,17.6,66.58
1546,465.16,70.88,490.54,39.83,23.28,77.93
1548,367.54,77.73,672.38,26.01,17.89,82.41
1551,498.77,72.1,456.86,23.93,17.69,69.93
1552,378.95,74.22,517.72,20.38,21.34,78.18
1565,331.34,67.57,521.41,27.53,16.32,85.52
1575,427.99,71.66,474.73,27.47,20.98,68.81
1603,455.47,61.64,388.97,30.99,22.12,72.24
1622,506.08,65.71,542.01,34.99,17.89,78.18
1662,377.99,67.51,507.05,31.94,20.3,80.56
1676,483.74,72.21,545.53,28.21,17.81,76.17
1689,459.32,74.53,557.98,29.08,20.43,89.47
1692,435.84,58.24,459.23,34.86,18.3,76.16
1702,446.22,69.12,514.36,28.36,23.64,81.3
1710,452.8,62.57,525.16,32.74,21.84,85.17
1742,476.19,67.25,450.48,37.77,19.54,82.09
1748,421.97,72.77,515.06,28.32,16.81,83.27
1753,390.5,67.12,479.08,32.24,19.48,87.25
1759,463.48,66.9,571.56,21.25,19.54,84.65
1783,570.46,64.79,526.46,33.32,17.77,74.94
1791,375.67,75.27,516.58,26.15,17.81,76.87
1831,492.54,70.03,424.15,37.08,20.42,78.14
1837,466.94,65.2,434.41,28.08,17.92,85.38
1845,366.42,68.35,484.55,20.17,18.96,75.7
1852,428.92,75.12,467.88,14.15,21.08,70.74
1855,300.28,68.33,501.79,19.5,18.44,80.45
1862,479.27,76.75,477.76,20.01,17.37,70.42
1882,431.67,65.81,476.74,32.48,14.76,77.67
1888,320.54,71.07,472.74,17.32,22.56,75.19
1901,490.4,73.06,496.16,27.8,21.66,73.51
1907,583.88,64.51,492.61,19.58,18.31,81.39
1913,517.41,63.3,428.93,27.48,19.63,67.49
1929,365.3,63.51,557.41,31.15,22.17,84.0
1951,492.53,64.11,463.99,38.77,19.6,83.67
1965,440.75,65.32,525.97,28.73,18.95,83.52
1980,500.8,67.55,468.03,21.86,20.47,72.73
1981,421.56,70.34,602.74,31.39,18.5,72.96
1987,621.13,67.61,459.89,23.75,21.48,83.43
2013,577.96,71.66,490.76,26.55,19.37,81.64
2030,552.33,72.55,512.31,25.03,19.51,81.2
