ID,Idade,Renda,Regiao,Genero,seguro auto,seguro vida Emp,seguro vida PF,Seguro Residencial,Investimento Fundos_cambiais,Investimento Fundos_commodities,Investimento LCI,Investimento LCA,Investimento Poupanca,Investimento Fundos Multimercado,Investimento Tesouro Direto,Financiamento Casa,Financiamento Carro,Emprestimo _pessoal,Emprestimo _consignado,Emprestimo _limite_especial,Emprestimo _educacao,Emprestimo _viagem,Investimento CDB,Investimento Fundos,RECOMMENDATION_1,CONFIDENCE_1,RECOMMENDATION_2,CONFIDENCE_2,RECOMMENDATION_3,CONFIDENCE_3
1403.0,49.534,7009.215,S,0.0,F,F,F,T,T,T,T,F,F,T,F,F,T,F,F,F,T,T,T,T,Emprestimo _viagem,0.8564885496183207,Investimento Fundos,0.8564885496183207,,
1424.0,73.64,7318.018,CO,1.0,F,F,F,F,F,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,Investimento Fundos_cambiais,0.9205052005943536,Investimento LCI,0.9205052005943536,,
1446.0,51.983,7818.061,CO,0.0,F,F,F,T,F,F,F,F,F,T,F,F,F,T,F,F,F,F,T,F,,,,,,
1467.0,57.85,6943.308,NE,1.0,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,,,,,,
1491.0,32.828,6924.499,CO,1.0,F,F,F,F,T,T,T,F,F,F,F,F,F,T,F,F,T,T,T,T,Emprestimo _viagem,0.8564885496183207,Investimento Fundos,0.8564885496183207,,
1503.0,30.736,8216.329,S,1.0,F,F,F,T,T,T,T,T,T,T,T,F,T,F,F,F,F,T,F,T,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1512.0,22.865,8358.508,SE,0.0,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,Investimento Fundos,0.8002536461636017,,,,
1517.0,47.404,7993.075,NE,1.0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,,,,,,
1533.0,36.147,10177.463,SE,0.0,T,T,T,T,T,F,F,F,F,F,F,T,T,T,T,T,F,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1544.0,45.014,8555.527,NE,1.0,T,T,T,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,Seguro Residencial,0.9595323741007195,seguro auto,0.9595323741007195,,
1550.0,37.004,6684.662,SE,0.0,F,F,F,F,T,T,T,T,T,F,F,F,F,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
1569.0,23.489,7126.112,SE,0.0,T,T,T,T,F,F,T,F,F,F,F,F,F,T,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
1571.0,31.011,7023.718,S,0.0,F,F,F,T,F,T,F,F,F,F,F,F,T,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
1584.0,42.827,6697.742,SE,1.0,F,F,F,F,F,F,F,T,T,T,F,F,T,F,F,F,F,F,T,F,,,,,,
1590.0,42.541,8173.641,SE,0.0,F,F,F,T,F,F,F,F,F,T,T,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
1594.0,41.496,7573.653,CO,1.0,T,T,T,T,T,T,T,T,T,F,T,F,T,T,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
1600.0,47.168,9747.181,NE,1.0,F,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1613.0,53.808,6603.974,NE,1.0,F,F,F,T,T,T,T,T,T,F,T,F,F,T,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
1635.0,47.054,7377.854,CO,1.0,F,T,F,F,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1638.0,38.083,7559.091,SE,1.0,F,F,F,F,T,T,F,F,F,F,T,T,F,F,F,F,F,F,T,F,Investimento LCI,0.9194943446440452,,,,
1640.0,49.853,7247.695,S,1.0,F,F,T,T,T,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,seguro auto,0.9254119687771032,seguro vida Emp,0.9254119687771032,,
1650.0,19.689,7312.56,N,0.0,F,F,F,F,T,T,T,F,F,F,T,F,F,T,F,F,F,F,T,F,Investimento LCI,0.9194943446440452,,,,
1660.0,44.562,8631.708,SE,1.0,T,T,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,Seguro Residencial,0.9359649122807018,seguro vida PF,0.9359649122807018,,
1689.0,43.732,7282.921,SE,0.0,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
1695.0,43.49,8800.394,S,0.0,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,T,F,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1709.0,50.399,6924.99,SE,1.0,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,,,,,,
1710.0,63.596,7995.014,SE,0.0,T,T,T,T,F,F,T,F,F,T,T,F,T,F,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
1715.0,50.967,8189.253,NE,1.0,F,T,F,F,T,F,F,F,T,F,F,T,T,F,F,F,F,F,F,F,,,,,,
1715.0,50.967,8189.253,NE,1.0,F,T,F,F,F,T,F,F,F,F,F,T,T,F,F,F,F,T,T,F,,,,,,
1715.0,27.585,6174.574,SE,0.0,F,F,F,F,F,T,F,F,F,F,F,T,T,F,F,F,F,T,T,F,,,,,,
1715.0,27.585,6174.574,SE,0.0,F,F,F,F,F,T,F,F,F,F,F,T,T,F,F,F,F,F,F,F,,,,,,
1715.0,27.585,6174.574,SE,0.0,F,F,F,F,T,F,F,F,T,F,F,T,T,F,F,F,F,T,T,F,Investimento LCI,0.8165728077232502,,,,
1715.0,27.585,6174.574,SE,0.0,F,F,F,F,T,F,F,F,T,F,F,T,T,F,F,F,F,F,F,F,,,,,,
1715.0,50.967,8189.253,NE,1.0,F,T,F,F,F,T,F,F,F,F,F,T,T,F,F,F,F,F,F,F,,,,,,
1715.0,50.967,8189.253,NE,1.0,F,T,F,F,T,F,F,F,T,F,F,T,T,F,F,F,F,T,T,F,Investimento LCI,0.8165728077232502,,,,
1737.0,41.937,8685.633,SE,0.0,F,F,T,T,F,F,F,F,T,F,T,F,T,F,F,F,F,T,F,F,seguro auto,0.9232914923291492,seguro vida Emp,0.9232914923291492,,
1737.0,41.937,8685.633,SE,0.0,F,F,T,T,F,F,F,F,T,F,T,T,T,T,T,T,F,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1737.0,41.937,8685.633,SE,0.0,F,F,T,T,F,F,F,F,F,F,T,T,T,T,T,T,F,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1737.0,37.977,8217.82,NE,0.0,T,T,T,T,F,F,F,F,T,F,T,T,T,T,T,T,F,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1737.0,37.977,8217.82,NE,0.0,T,T,T,T,F,F,F,F,T,F,T,F,T,F,F,F,F,T,F,F,seguro vida Emp,0.9416785206258891,seguro vida PF,0.9416785206258891,,
1737.0,37.977,8217.82,NE,0.0,T,T,T,T,F,F,F,F,F,F,T,T,T,T,T,T,F,F,F,F,Emprestimo _consignado,0.956882255389718,,,,
1737.0,41.937,8685.633,SE,0.0,F,F,T,T,F,F,F,F,F,F,T,F,T,F,F,F,F,T,F,F,seguro auto,0.9232914923291492,seguro vida Emp,0.9232914923291492,,
1737.0,37.977,8217.82,NE,0.0,T,T,T,T,F,F,F,F,F,F,T,F,T,F,F,F,F,T,F,F,seguro vida Emp,0.9416785206258891,seguro vida PF,0.9416785206258891,,
1764.0,28.751,8467.966,CO,0.0,T,T,T,T,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,T,seguro vida Emp,0.9441860465116279,seguro vida PF,0.9441860465116279,,
1784.0,35.288,7287.449,S,0.0,T,T,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,T,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
1795.0,29.305,6833.19,SE,1.0,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,T,T,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1812.0,34.565,7629.586,SE,0.0,F,F,F,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,,,,,,
1823.0,34.272,7307.962,SE,0.0,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
1824.0,41.534,8156.407,NE,1.0,F,T,F,F,T,F,F,T,T,F,F,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
1829.0,61.711,7537.398,CO,1.0,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,T,F,,,,,,
1837.0,33.614,6041.935,CO,1.0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,Investimento Fundos,0.8002536461636017,,,,
1879.0,22.494,6567.628,SE,0.0,T,F,F,F,F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,,,,,,
1892.0,22.892,6110.506,NE,1.0,F,F,F,F,F,T,T,F,F,T,T,F,F,F,F,F,F,F,F,F,Investimento Fundos_cambiais,0.8719723183391004,,,,
1904.0,24.925,7477.075,NE,1.0,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,,,,,
1904.0,24.925,7477.075,NE,1.0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,,,,,,
1904.0,24.925,7477.075,NE,1.0,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,,,,,,
1904.0,42.399,15460.0,SE,1.0,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,,,,,
1904.0,42.399,15460.0,SE,1.0,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,,,,,,
1904.0,24.925,7477.075,NE,1.0,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,,,,,
1904.0,42.399,15460.0,SE,1.0,F,F,F,T,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,,,,,
1904.0,42.399,15460.0,SE,1.0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,,,,,,
1947.0,46.398,5776.368,S,0.0,T,T,T,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
1952.0,27.287,7001.666,NE,1.0,F,T,F,T,T,T,T,T,T,T,T,F,F,F,F,F,F,T,F,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
1955.0,21.845,6839.172,SE,1.0,F,F,F,F,F,F,F,F,T,F,F,F,T,T,F,F,F,F,F,F,,,,,,
1971.0,28.568,7002.048,SE,0.0,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
2000.0,34.422,8423.552,SE,1.0,T,F,F,F,T,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
2002.0,45.903,7333.503,NE,1.0,F,T,F,F,T,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
2010.0,25.983,7674.376,CO,0.0,F,F,F,F,T,T,T,T,T,F,F,F,F,F,F,F,F,F,T,T,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
2016.0,33.333,7683.901,SE,1.0,F,T,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,T,F,,,,,,
2064.0,28.429,7384.713,NE,0.0,F,F,F,F,F,F,F,T,F,F,T,F,F,T,F,F,F,F,T,F,,,,,,
2090.0,21.922,7536.042,CO,1.0,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,,,,,,
2109.0,32.796,7579.859,N,0.0,F,F,F,F,T,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,,,,,,
2120.0,34.516,6997.051,NE,1.0,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,,,,,,
2139.0,52.772,5169.263,N,1.0,F,T,F,F,T,T,T,T,T,T,T,F,F,F,F,F,T,F,T,T,Emprestimo _viagem,0.8564885496183207,Investimento Fundos,0.8564885496183207,,
2140.0,18.543,7649.074,SE,0.0,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,F,F,T,F,,,,,,
2147.0,46.568,7036.018,SE,0.0,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,T,F,,,,,,
2197.0,52.547,6941.822,CO,1.0,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,Investimento Fundos_commodities,0.8044794188861986,,,,
2212.0,47.841,7522.239,SE,0.0,T,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,Seguro Residencial,0.9392265193370166,seguro vida PF,0.9392265193370166,,
2229.0,51.543,7241.186,SE,1.0,F,F,F,F,F,F,T,F,T,F,T,F,F,F,F,F,F,F,T,F,Investimento Fundos_commodities,0.8402948402948403,,,,
2242.0,29.384,5793.228,CO,1.0,F,T,F,F,T,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,,,,,,
2243.0,46.761,7866.38,N,0.0,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,,,,,,
2262.0,61.518,6634.37,S,1.0,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,,,,,,
2266.0,26.131,6786.349,NE,0.0,T,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,seguro vida Emp,0.9441860465116279,seguro vida PF,0.9441860465116279,,
2269.0,26.271,8344.881,SE,0.0,T,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,seguro vida Emp,0.9441860465116279,seguro vida PF,0.9441860465116279,,
2273.0,57.684,7532.65,SE,1.0,F,F,F,F,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,T,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
2278.0,43.562,6927.297,SE,1.0,T,T,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,Seguro Residencial,0.9608404966571156,seguro auto,0.9608404966571156,,
2278.0,43.562,6927.297,SE,1.0,T,T,T,T,F,F,F,F,F,T,F,F,F,T,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
2278.0,43.562,6927.297,SE,1.0,T,T,T,T,T,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,Seguro Residencial,0.9608404966571156,seguro auto,0.9608404966571156,,
2278.0,43.562,6927.297,SE,1.0,T,T,T,T,T,F,F,F,F,T,T,F,F,T,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
2278.0,37.417,7227.178,NE,1.0,T,T,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,Seguro Residencial,0.9608404966571156,seguro auto,0.9608404966571156,,
2278.0,37.417,7227.178,NE,1.0,T,T,T,T,T,F,F,F,F,T,T,F,F,T,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
2278.0,37.417,7227.178,NE,1.0,T,T,T,T,T,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,Seguro Residencial,0.9608404966571156,seguro auto,0.9608404966571156,,
2278.0,37.417,7227.178,NE,1.0,T,T,T,T,F,F,F,F,F,T,F,F,F,T,F,F,F,F,T,F,seguro vida Emp,0.947075208913649,seguro vida PF,0.947075208913649,,
2290.0,50.973,7283.805,S,0.0,F,F,F,T,T,T,T,T,T,T,T,F,T,F,F,F,F,F,T,F,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
2292.0,22.388,7431.646,SE,1.0,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,T,F,F,T,F,,,,,,
2300.0,58.943,8243.65,CO,1.0,F,T,F,F,T,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,Emprestimo _consignado,0.956882255389718,,,,
2306.0,49.892,8063.82,S,1.0,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,T,T,Investimento Fundos_commodities,0.8394308943089431,Investimento LCA,0.8394308943089431,,
2311.0,51.62,6839.336,CO,0.0,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,Investimento Fundos_commodities,0.8044794188861986,,,,
2325.0,63.281,7087.451,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,T,F,F,F,F,F,F,F,,,,,,
2325.0,24.615,7795.947,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
2325.0,63.281,7087.451,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
2325.0,63.281,7087.451,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,T,F,F,F,F,F,F,F,,,,,,
2325.0,63.281,7087.451,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
2325.0,24.615,7795.947,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,T,F,F,F,F,F,F,F,,,,,,
2325.0,24.615,7795.947,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,T,F,F,F,F,F,F,F,,,,,,
2325.0,24.615,7795.947,CO,0.0,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,T,T,T,Emprestimo _educacao,0.8813825608798115,,,,
2330.0,35.737,7711.676,S,1.0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,T,Investimento CDB,0.8779310344827587,,,,
2353.0,42.374,6831.69,NE,1.0,T,T,T,T,T,F,F,T,T,F,F,T,T,T,T,T,F,F,T,F,Emprestimo _consignado,0.956882255389718,,,,
2355.0,55.214,7813.897,NE,1.0,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,,,,,,
2356.0,28.118,7753.061,CO,0.0,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,,,,,,
2372.0,26.965,8514.863,NE,1.0,F,T,F,T,T,F,F,F,T,F,T,T,F,F,F,F,F,F,F,T,seguro auto,0.8913824057450629,seguro vida PF,0.8913824057450629,,
2379.0,22.556,7407.553,SE,1.0,T,T,T,T,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,seguro vida Emp,0.9441860465116279,seguro vida PF,0.9441860465116279,,
2384.0,52.424,7329.425,CO,0.0,F,F,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,T,T,Investimento CDB,0.8653122648607976,Investimento Fundos_cambiais,0.8653122648607976,,
2412.0,33.934,6447.378,N,1.0,T,F,F,F,T,T,T,T,F,T,F,F,F,F,F,F,T,T,T,T,Emprestimo _viagem,0.8564885496183207,Investimento Fundos,0.8564885496183207,,
